content_type,title,release_year,genres,imdb_rating,runtime,age_rating,production_country,streaming_service,url
tv_show,A Knight of the Seven Kingdoms(2026),,Not Available,,Not Available,Not Available,Not Available,"A Knight of the Seven Kingdoms, Ahsoka, All Her Fault, Apple TV, Avatar the Last Airbender - Season 3, Bait - Season 1",https://www.justwatch.com/in/tv-show/a-knight-of-the-seven-kingdoms-the-hedge-knight
tv_show,Jujutsu Kaisen(2020),,Not Available,,Not Available,Not Available,Not Available,"Ahsoka, All Her Fault, Amazon MX Player, Amazon Prime Video, Anime Times Amazon Channel, Apple TV",https://www.justwatch.com/in/tv-show/jujutsu-kaisen
tv_show,From(2022),,Not Available,,Not Available,Not Available,Not Available,"Aghori, Ahsoka, Alien: Earth, All Her Fault, Amazon Prime Video, Amazon Prime Video with Ads",https://www.justwatch.com/in/tv-show/from
tv_show,Erotic Stories(2023),,Not Available,,Not Available,Not Available,Not Available,"12 Steps to Recovery, Ahsoka, Alana Mansour, All Her Fault, Amazon Prime Video, Amber McMahon",https://www.justwatch.com/in/tv-show/erotic-stories
tv_show,Stranger Things(2016),,Not Available,,Not Available,Not Available,Not Available,"A Knight of the Seven Kingdoms, Ahsoka, Alien: Earth, All American, All Her Fault, Apple TV",https://www.justwatch.com/in/tv-show/stranger-things
tv_show,Kohrra(2023),,Not Available,,Not Available,Not Available,Not Available,"A Knight of the Seven Kingdoms, A-i-dol A-i, Aanand Priya, Ahsoka, Apple TV, Bachna Ae Haseeno",https://www.justwatch.com/in/tv-show/kohrra
tv_show,Game of Thrones(2011),,Not Available,,Not Available,Not Available,Not Available,"21 Jump Street, Ahsoka, All Her Fault, Apple TV, Avatar the Last Airbender - Season 3, Band of Brothers",https://www.justwatch.com/in/tv-show/game-of-thrones
tv_show,Taskaree: The Smuggler's Web(2026),,Not Available,,Not Available,Not Available,Not Available,"A Knight of the Seven Kingdoms, Ahsoka, All Her Fault, Amruta Khanvilkar, Anuja Sathe, Anurag Sinha",https://www.justwatch.com/in/tv-show/taskaree-the-smugglers-web
tv_show,Overflow(2020),,Not Available,,Not Available,Not Available,Not Available,"A Knight of the Seven Kingdoms, Abar Proloy, Ahsoka, All Her Fault, Amazon Prime Video, Anime Times Amazon Channel",https://www.justwatch.com/in/tv-show/overflow
tv_show,Spartacus: House of Ashur(2025),,Not Available,,Not Available,Not Available,Not Available,"A Knight of the Seven Kingdoms, Ahsoka, All Her Fault, Apple TV, Ash vs Evil Dead, Bait - Season 1",https://www.justwatch.com/in/tv-show/spartacus-house-of-ashur
tv_show,Bridgerton(2020),,Not Available,,Not Available,Not Available,Not Available,"56 Days, A Knight of the Seven Kingdoms, A-i-dol A-i, Abar Proloy, Adjoa Andoh, Agatha Christie's Seven Dials",https://www.justwatch.com/in/tv-show/bridgerton
tv_show,Pluribus(2025),,Not Available,,Not Available,Not Available,Not Available,"56 Days, After Yang, Agatha All Along, Ahsoka, Alien: Earth, All Her Fault",https://www.justwatch.com/in/tv-show/pluribus
